message,label,clean_message
Unauthorized payment from my card! kindly resolve,2,unauthorized payment card kindly resolve
Critical: scam activity on my profile!!!!,2,critical scam activity profile
Serious complaint: wrong person received my order and details! kindly resolve,2,serious complaint wrong person received order detail kindly resolve
Payment taken multiple times! asap,2,payment taken multiple time asap
Immediate help needed: account locked with balance inside! asap,2,immediate help needed account locked balance inside asap
"I was billed incorrectly, please check. please help",1,billed incorrectly please check please help
Urgent: money deducted but order failed! kindly resolve,2,urgent money deducted order failed kindly resolve
Immediate help needed: account locked with balance inside! asap,2,immediate help needed account locked balance inside asap
My account has been hacked! asap,2,account hacked asap
Prices seem reasonable.!!!,0,price seem reasonable
Serious complaint: wrong person received my order and details!,2,serious complaint wrong person received order detail
Unauthorized payment from my card! asap,2,unauthorized payment card asap
Unauthorized payment from my card! kindly resolve,2,unauthorized payment card kindly resolve
Critical: scam activity on my profile!!!!,2,critical scam activity profile
Urgent: money deducted but order failed!!!!,2,urgent money deducted order failed
I have not received my refund yet.!!!,1,received refund yet
Unauthorized payment from my card! asap,2,unauthorized payment card asap
Urgent: money deducted but order failed! please help,2,urgent money deducted order failed please help
Immediate help needed: account locked with balance inside! kindly resolve,2,immediate help needed account locked balance inside kindly resolve
Need help with changing my address. kindly resolve,1,need help changing address kindly resolve
The app looks good. please help,0,app look good please help
Urgent: money deducted but order failed! please help,2,urgent money deducted order failed please help
Payment taken multiple times! please help,2,payment taken multiple time please help
Data privacy issue — my info is visible to others!,2,data privacy issue info visible others
Payment taken multiple times!,2,payment taken multiple time
My account has been hacked! please help,2,account hacked please help
Sharing a suggestion for improvement. please help,0,sharing suggestion improvement please help
The new update is nice.,0,new update nice
Feature request: dark mode would be nice.!!!,0,feature request dark mode would nice
Urgent: money deducted but order failed! kindly resolve,2,urgent money deducted order failed kindly resolve
Data privacy issue — my info is visible to others!!!!,2,data privacy issue info visible others
Order arrived late. please help,1,order arrived late please help
Payment taken multiple times!,2,payment taken multiple time
Just giving feedback about the UI.!!!,0,giving feedback ui
Need help with changing my address.,1,need help changing address
Received a damaged package.!!!,1,received damaged package
Received a damaged package. please help,1,received damaged package please help
Sharing a suggestion for improvement. please help,0,sharing suggestion improvement please help
"I was charged twice, fix this immediately! asap",2,charged twice fix immediately asap
Need help with changing my address. kindly resolve,1,need help changing address kindly resolve
Feature request: dark mode would be nice. asap,0,feature request dark mode would nice asap
Immediate help needed: account locked with balance inside! please help,2,immediate help needed account locked balance inside please help
Serious complaint: wrong person received my order and details! asap,2,serious complaint wrong person received order detail asap
Just giving feedback about the UI. kindly resolve,0,giving feedback ui kindly resolve
Payment taken multiple times! please help,2,payment taken multiple time please help
I like your service.!!!,0,like service
Payment confirmation is pending. please help,1,payment confirmation pending please help
Immediate help needed: account locked with balance inside!,2,immediate help needed account locked balance inside
Tracking info is not updating.,1,tracking info updating
Just giving feedback about the UI.!!!,0,giving feedback ui
The new update is nice. please help,0,new update nice please help
My delivery was delayed by two days.!!!,1,delivery delayed two day
Fraud transaction detected on my account! kindly resolve,2,fraud transaction detected account kindly resolve
General feedback on your website. kindly resolve,0,general feedback website kindly resolve
Order arrived late. asap,1,order arrived late asap
Serious complaint: wrong person received my order and details!,2,serious complaint wrong person received order detail
Coupon code is not working.,1,coupon code working
I like your service.,0,like service
Need help with changing my address.,1,need help changing address
Data privacy issue — my info is visible to others!!!!,2,data privacy issue info visible others
Just giving feedback about the UI.!!!,0,giving feedback ui
Urgent: money deducted but order failed! please help,2,urgent money deducted order failed please help
Unable to login sometimes. please help,1,unable login sometimes please help
My account has been hacked! kindly resolve,2,account hacked kindly resolve
Payment taken multiple times!,2,payment taken multiple time
Just giving feedback about the UI. kindly resolve,0,giving feedback ui kindly resolve
Payment confirmation is pending. kindly resolve,1,payment confirmation pending kindly resolve
Payment confirmation is pending.,1,payment confirmation pending
"I was billed incorrectly, please check. kindly resolve",1,billed incorrectly please check kindly resolve
"I was billed incorrectly, please check. asap",1,billed incorrectly please check asap
Payment confirmation is pending. asap,1,payment confirmation pending asap
Payment confirmation is pending. asap,1,payment confirmation pending asap
Unable to login sometimes.!!!,1,unable login sometimes
Immediate help needed: account locked with balance inside!!!!,2,immediate help needed account locked balance inside
Unable to login sometimes.!!!,1,unable login sometimes
Coupon code is not working.,1,coupon code working
Need help with changing my address. kindly resolve,1,need help changing address kindly resolve
General feedback on your website.!!!,0,general feedback website
Coupon code is not working. please help,1,coupon code working please help
My account has been hacked! kindly resolve,2,account hacked kindly resolve
Need help with changing my address. please help,1,need help changing address please help
Coupon code is not working.,1,coupon code working
Serious complaint: wrong person received my order and details!,2,serious complaint wrong person received order detail
I have not received my refund yet. please help,1,received refund yet please help
Payment confirmation is pending.!!!,1,payment confirmation pending
Tracking info is not updating. kindly resolve,1,tracking info updating kindly resolve
Unable to login sometimes. asap,1,unable login sometimes asap
Serious complaint: wrong person received my order and details! asap,2,serious complaint wrong person received order detail asap
Tracking info is not updating.!!!,1,tracking info updating
Payment confirmation is pending. kindly resolve,1,payment confirmation pending kindly resolve
Your staff was polite. asap,0,staff polite asap
Tracking info is not updating. please help,1,tracking info updating please help
Received a damaged package. asap,1,received damaged package asap
Need help with changing my address. kindly resolve,1,need help changing address kindly resolve
Fraud transaction detected on my account! please help,2,fraud transaction detected account please help
Urgent: money deducted but order failed! kindly resolve,2,urgent money deducted order failed kindly resolve
Order arrived late.,1,order arrived late
Prices seem reasonable.,0,price seem reasonable
Fraud transaction detected on my account! please help,2,fraud transaction detected account please help
Payment confirmation is pending. kindly resolve,1,payment confirmation pending kindly resolve
Just giving feedback about the UI. asap,0,giving feedback ui asap
Just giving feedback about the UI.,0,giving feedback ui
Tracking info is not updating.,1,tracking info updating
Feature request: dark mode would be nice. please help,0,feature request dark mode would nice please help
My account has been hacked!,2,account hacked
Payment confirmation is pending. kindly resolve,1,payment confirmation pending kindly resolve
Need help with changing my address. kindly resolve,1,need help changing address kindly resolve
Tracking info is not updating. asap,1,tracking info updating asap
Order arrived late. kindly resolve,1,order arrived late kindly resolve
Feature request: dark mode would be nice. asap,0,feature request dark mode would nice asap
Just giving feedback about the UI. kindly resolve,0,giving feedback ui kindly resolve
Critical: scam activity on my profile!!!!,2,critical scam activity profile
Fraud transaction detected on my account!!!!,2,fraud transaction detected account
Need help with changing my address. asap,1,need help changing address asap
Fraud transaction detected on my account! please help,2,fraud transaction detected account please help
The new update is nice. asap,0,new update nice asap
The new update is nice. kindly resolve,0,new update nice kindly resolve
Unauthorized payment from my card! please help,2,unauthorized payment card please help
Unable to login sometimes. asap,1,unable login sometimes asap
Feature request: dark mode would be nice.,0,feature request dark mode would nice
I like your service.,0,like service
I have not received my refund yet. please help,1,received refund yet please help
Unauthorized payment from my card! kindly resolve,2,unauthorized payment card kindly resolve
Payment confirmation is pending. please help,1,payment confirmation pending please help
The new update is nice.,0,new update nice
Feature request: dark mode would be nice.,0,feature request dark mode would nice
I like your service.,0,like service
Payment confirmation is pending. please help,1,payment confirmation pending please help
Payment confirmation is pending.!!!,1,payment confirmation pending
The app looks good. asap,0,app look good asap
Need help with changing my address.!!!,1,need help changing address
"I was charged twice, fix this immediately! asap",2,charged twice fix immediately asap
General feedback on your website.!!!,0,general feedback website
Unauthorized payment from my card!,2,unauthorized payment card
Payment taken multiple times! kindly resolve,2,payment taken multiple time kindly resolve
Received a damaged package. asap,1,received damaged package asap
Payment confirmation is pending.,1,payment confirmation pending
General feedback on your website.,0,general feedback website
"I was charged twice, fix this immediately! please help",2,charged twice fix immediately please help
Data privacy issue — my info is visible to others!,2,data privacy issue info visible others
The new update is nice. please help,0,new update nice please help
I like your service. asap,0,like service asap
My delivery was delayed by two days.,1,delivery delayed two day
Unauthorized payment from my card! asap,2,unauthorized payment card asap
Need help with changing my address.,1,need help changing address
I like your service.!!!,0,like service
Payment confirmation is pending. please help,1,payment confirmation pending please help
Unable to login sometimes.,1,unable login sometimes
Tracking info is not updating.,1,tracking info updating
The app looks good. kindly resolve,0,app look good kindly resolve
Serious complaint: wrong person received my order and details! asap,2,serious complaint wrong person received order detail asap
Critical: scam activity on my profile!,2,critical scam activity profile
Urgent: money deducted but order failed!,2,urgent money deducted order failed
Unauthorized payment from my card! kindly resolve,2,unauthorized payment card kindly resolve
Just giving feedback about the UI. kindly resolve,0,giving feedback ui kindly resolve
The app looks good.!!!,0,app look good
Fraud transaction detected on my account! please help,2,fraud transaction detected account please help
Fraud transaction detected on my account! asap,2,fraud transaction detected account asap
Your staff was polite. asap,0,staff polite asap
Sharing a suggestion for improvement. please help,0,sharing suggestion improvement please help
Payment confirmation is pending. kindly resolve,1,payment confirmation pending kindly resolve
Fraud transaction detected on my account! please help,2,fraud transaction detected account please help
Received a damaged package.,1,received damaged package
Payment taken multiple times! please help,2,payment taken multiple time please help
Tracking info is not updating. asap,1,tracking info updating asap
Order arrived late. asap,1,order arrived late asap
Feature request: dark mode would be nice.!!!,0,feature request dark mode would nice
Order arrived late. please help,1,order arrived late please help
Tracking info is not updating.!!!,1,tracking info updating
Just giving feedback about the UI. please help,0,giving feedback ui please help
"I was billed incorrectly, please check.",1,billed incorrectly please check
"I was charged twice, fix this immediately! asap",2,charged twice fix immediately asap
Fraud transaction detected on my account! kindly resolve,2,fraud transaction detected account kindly resolve
Critical: scam activity on my profile! kindly resolve,2,critical scam activity profile kindly resolve
Feature request: dark mode would be nice.!!!,0,feature request dark mode would nice
Received a damaged package. please help,1,received damaged package please help
Coupon code is not working.,1,coupon code working
Prices seem reasonable.,0,price seem reasonable
Tracking info is not updating. kindly resolve,1,tracking info updating kindly resolve
My delivery was delayed by two days.!!!,1,delivery delayed two day
My account has been hacked!,2,account hacked
Your staff was polite. asap,0,staff polite asap
Payment taken multiple times!,2,payment taken multiple time
Unauthorized payment from my card! kindly resolve,2,unauthorized payment card kindly resolve
I have not received my refund yet.!!!,1,received refund yet
Your staff was polite. please help,0,staff polite please help
Unauthorized payment from my card!,2,unauthorized payment card
Immediate help needed: account locked with balance inside!!!!,2,immediate help needed account locked balance inside
Just giving feedback about the UI. kindly resolve,0,giving feedback ui kindly resolve
Payment taken multiple times! kindly resolve,2,payment taken multiple time kindly resolve
Coupon code is not working. kindly resolve,1,coupon code working kindly resolve
The new update is nice. kindly resolve,0,new update nice kindly resolve
Received a damaged package. please help,1,received damaged package please help
Feature request: dark mode would be nice. please help,0,feature request dark mode would nice please help
Feature request: dark mode would be nice.,0,feature request dark mode would nice
Your staff was polite. please help,0,staff polite please help
Payment taken multiple times! kindly resolve,2,payment taken multiple time kindly resolve
General feedback on your website. kindly resolve,0,general feedback website kindly resolve
The app looks good. please help,0,app look good please help
Payment confirmation is pending.!!!,1,payment confirmation pending
I have not received my refund yet. kindly resolve,1,received refund yet kindly resolve
Tracking info is not updating. please help,1,tracking info updating please help
Data privacy issue — my info is visible to others!!!!,2,data privacy issue info visible others
Serious complaint: wrong person received my order and details!,2,serious complaint wrong person received order detail
Payment taken multiple times!,2,payment taken multiple time
My delivery was delayed by two days. kindly resolve,1,delivery delayed two day kindly resolve
"I was billed incorrectly, please check.!!!",1,billed incorrectly please check
Just giving feedback about the UI. kindly resolve,0,giving feedback ui kindly resolve
The app looks good.,0,app look good
Payment taken multiple times! please help,2,payment taken multiple time please help
Immediate help needed: account locked with balance inside! kindly resolve,2,immediate help needed account locked balance inside kindly resolve
Need help with changing my address.!!!,1,need help changing address
Just giving feedback about the UI. asap,0,giving feedback ui asap
Received a damaged package. please help,1,received damaged package please help
Tracking info is not updating. asap,1,tracking info updating asap
Prices seem reasonable. please help,0,price seem reasonable please help
Immediate help needed: account locked with balance inside! kindly resolve,2,immediate help needed account locked balance inside kindly resolve
Data privacy issue — my info is visible to others! asap,2,data privacy issue info visible others asap
Feature request: dark mode would be nice. please help,0,feature request dark mode would nice please help
Immediate help needed: account locked with balance inside!,2,immediate help needed account locked balance inside
Just giving feedback about the UI. asap,0,giving feedback ui asap
Immediate help needed: account locked with balance inside! asap,2,immediate help needed account locked balance inside asap
Data privacy issue — my info is visible to others! kindly resolve,2,data privacy issue info visible others kindly resolve
Immediate help needed: account locked with balance inside!!!!,2,immediate help needed account locked balance inside
General feedback on your website. please help,0,general feedback website please help
Payment confirmation is pending.!!!,1,payment confirmation pending
Just giving feedback about the UI. kindly resolve,0,giving feedback ui kindly resolve
Unauthorized payment from my card! please help,2,unauthorized payment card please help
"I was billed incorrectly, please check. asap",1,billed incorrectly please check asap
Urgent: money deducted but order failed! please help,2,urgent money deducted order failed please help
Feature request: dark mode would be nice.,0,feature request dark mode would nice
Sharing a suggestion for improvement. kindly resolve,0,sharing suggestion improvement kindly resolve
Immediate help needed: account locked with balance inside!!!!,2,immediate help needed account locked balance inside
Payment taken multiple times!,2,payment taken multiple time
I like your service.!!!,0,like service
Payment confirmation is pending.!!!,1,payment confirmation pending
Urgent: money deducted but order failed! please help,2,urgent money deducted order failed please help
I like your service.!!!,0,like service
General feedback on your website.!!!,0,general feedback website
I have not received my refund yet. please help,1,received refund yet please help
Order arrived late.,1,order arrived late
Payment confirmation is pending. please help,1,payment confirmation pending please help
Received a damaged package.!!!,1,received damaged package
I have not received my refund yet.!!!,1,received refund yet
I like your service.!!!,0,like service
Data privacy issue — my info is visible to others!,2,data privacy issue info visible others
I like your service. please help,0,like service please help
"I was billed incorrectly, please check. kindly resolve",1,billed incorrectly please check kindly resolve
General feedback on your website. asap,0,general feedback website asap
Fraud transaction detected on my account!!!!,2,fraud transaction detected account
Your staff was polite.,0,staff polite
My delivery was delayed by two days. kindly resolve,1,delivery delayed two day kindly resolve
Coupon code is not working. kindly resolve,1,coupon code working kindly resolve
General feedback on your website. kindly resolve,0,general feedback website kindly resolve
Coupon code is not working. asap,1,coupon code working asap
My account has been hacked! asap,2,account hacked asap
Urgent: money deducted but order failed!,2,urgent money deducted order failed
Need help with changing my address. kindly resolve,1,need help changing address kindly resolve
Immediate help needed: account locked with balance inside!!!!,2,immediate help needed account locked balance inside
"I was billed incorrectly, please check. please help",1,billed incorrectly please check please help
The new update is nice. kindly resolve,0,new update nice kindly resolve
Data privacy issue — my info is visible to others!!!!,2,data privacy issue info visible others
I have not received my refund yet. please help,1,received refund yet please help
General feedback on your website. kindly resolve,0,general feedback website kindly resolve
Your staff was polite. please help,0,staff polite please help
Your staff was polite. asap,0,staff polite asap
Fraud transaction detected on my account!,2,fraud transaction detected account
Payment confirmation is pending. please help,1,payment confirmation pending please help
Your staff was polite.,0,staff polite
Unauthorized payment from my card!,2,unauthorized payment card
Coupon code is not working. asap,1,coupon code working asap
Payment taken multiple times! kindly resolve,2,payment taken multiple time kindly resolve
The app looks good.!!!,0,app look good
Just giving feedback about the UI. asap,0,giving feedback ui asap
"I was charged twice, fix this immediately! kindly resolve",2,charged twice fix immediately kindly resolve
Urgent: money deducted but order failed!!!!,2,urgent money deducted order failed
"I was charged twice, fix this immediately! please help",2,charged twice fix immediately please help
Payment taken multiple times! please help,2,payment taken multiple time please help
Data privacy issue — my info is visible to others!,2,data privacy issue info visible others
Data privacy issue — my info is visible to others! please help,2,data privacy issue info visible others please help
My delivery was delayed by two days.,1,delivery delayed two day
Your staff was polite. kindly resolve,0,staff polite kindly resolve
My delivery was delayed by two days. kindly resolve,1,delivery delayed two day kindly resolve
Order arrived late. please help,1,order arrived late please help
Data privacy issue — my info is visible to others!,2,data privacy issue info visible others
Urgent: money deducted but order failed! kindly resolve,2,urgent money deducted order failed kindly resolve
Order arrived late.!!!,1,order arrived late
Urgent: money deducted but order failed!,2,urgent money deducted order failed
The new update is nice. kindly resolve,0,new update nice kindly resolve
"I was charged twice, fix this immediately! kindly resolve",2,charged twice fix immediately kindly resolve
"I was charged twice, fix this immediately! asap",2,charged twice fix immediately asap
Feature request: dark mode would be nice.!!!,0,feature request dark mode would nice
I like your service.!!!,0,like service
Critical: scam activity on my profile!,2,critical scam activity profile
Payment taken multiple times! asap,2,payment taken multiple time asap
Sharing a suggestion for improvement.!!!,0,sharing suggestion improvement
Unauthorized payment from my card! kindly resolve,2,unauthorized payment card kindly resolve
I have not received my refund yet.!!!,1,received refund yet
Prices seem reasonable. kindly resolve,0,price seem reasonable kindly resolve
I have not received my refund yet. please help,1,received refund yet please help
Need help with changing my address. asap,1,need help changing address asap
Critical: scam activity on my profile! please help,2,critical scam activity profile please help
Your staff was polite. kindly resolve,0,staff polite kindly resolve
Coupon code is not working. please help,1,coupon code working please help
Payment confirmation is pending.!!!,1,payment confirmation pending
Just giving feedback about the UI. asap,0,giving feedback ui asap
Payment confirmation is pending. please help,1,payment confirmation pending please help
Immediate help needed: account locked with balance inside! kindly resolve,2,immediate help needed account locked balance inside kindly resolve
Fraud transaction detected on my account! asap,2,fraud transaction detected account asap
The new update is nice. kindly resolve,0,new update nice kindly resolve
I like your service. please help,0,like service please help
Order arrived late. asap,1,order arrived late asap
I have not received my refund yet. kindly resolve,1,received refund yet kindly resolve
Fraud transaction detected on my account! please help,2,fraud transaction detected account please help
Immediate help needed: account locked with balance inside!!!!,2,immediate help needed account locked balance inside
Payment confirmation is pending. asap,1,payment confirmation pending asap
Serious complaint: wrong person received my order and details! please help,2,serious complaint wrong person received order detail please help
My delivery was delayed by two days.,1,delivery delayed two day
My delivery was delayed by two days.,1,delivery delayed two day
Sharing a suggestion for improvement.!!!,0,sharing suggestion improvement
"I was billed incorrectly, please check. please help",1,billed incorrectly please check please help
Feature request: dark mode would be nice. kindly resolve,0,feature request dark mode would nice kindly resolve
Data privacy issue — my info is visible to others!,2,data privacy issue info visible others
Immediate help needed: account locked with balance inside! asap,2,immediate help needed account locked balance inside asap
"I was billed incorrectly, please check.",1,billed incorrectly please check
I like your service.!!!,0,like service
Overall experience was okay. kindly resolve,0,overall experience okay kindly resolve
Urgent: money deducted but order failed! please help,2,urgent money deducted order failed please help
I like your service. asap,0,like service asap
Data privacy issue — my info is visible to others!,2,data privacy issue info visible others
Sharing a suggestion for improvement. please help,0,sharing suggestion improvement please help
Unauthorized payment from my card! please help,2,unauthorized payment card please help
Tracking info is not updating.,1,tracking info updating
Urgent: money deducted but order failed! kindly resolve,2,urgent money deducted order failed kindly resolve
I like your service. kindly resolve,0,like service kindly resolve
"I was charged twice, fix this immediately! kindly resolve",2,charged twice fix immediately kindly resolve
Urgent: money deducted but order failed! asap,2,urgent money deducted order failed asap
Data privacy issue — my info is visible to others!,2,data privacy issue info visible others
"I was billed incorrectly, please check. asap",1,billed incorrectly please check asap
The new update is nice.!!!,0,new update nice
Prices seem reasonable. please help,0,price seem reasonable please help
Tracking info is not updating. please help,1,tracking info updating please help
The new update is nice. please help,0,new update nice please help
Your staff was polite.!!!,0,staff polite
Prices seem reasonable.!!!,0,price seem reasonable
Order arrived late.,1,order arrived late
Urgent: money deducted but order failed! asap,2,urgent money deducted order failed asap
General feedback on your website. kindly resolve,0,general feedback website kindly resolve
I have not received my refund yet.!!!,1,received refund yet
Feature request: dark mode would be nice.!!!,0,feature request dark mode would nice
Just giving feedback about the UI. please help,0,giving feedback ui please help
Order arrived late. asap,1,order arrived late asap
My delivery was delayed by two days. please help,1,delivery delayed two day please help
Immediate help needed: account locked with balance inside!!!!,2,immediate help needed account locked balance inside
Received a damaged package. asap,1,received damaged package asap
The app looks good.,0,app look good
Need help with changing my address. please help,1,need help changing address please help
Urgent: money deducted but order failed!,2,urgent money deducted order failed
Serious complaint: wrong person received my order and details!!!!,2,serious complaint wrong person received order detail
Immediate help needed: account locked with balance inside! asap,2,immediate help needed account locked balance inside asap
Overall experience was okay. asap,0,overall experience okay asap
Immediate help needed: account locked with balance inside! please help,2,immediate help needed account locked balance inside please help
My account has been hacked!!!!,2,account hacked
Feature request: dark mode would be nice.!!!,0,feature request dark mode would nice
Urgent: money deducted but order failed! asap,2,urgent money deducted order failed asap
Immediate help needed: account locked with balance inside!!!!,2,immediate help needed account locked balance inside
Tracking info is not updating. kindly resolve,1,tracking info updating kindly resolve
Your staff was polite. kindly resolve,0,staff polite kindly resolve
Payment confirmation is pending.,1,payment confirmation pending
Your staff was polite. please help,0,staff polite please help
The new update is nice. kindly resolve,0,new update nice kindly resolve
I like your service. please help,0,like service please help
Urgent: money deducted but order failed! please help,2,urgent money deducted order failed please help
Unauthorized payment from my card!!!!,2,unauthorized payment card
Unable to login sometimes.,1,unable login sometimes
Sharing a suggestion for improvement. kindly resolve,0,sharing suggestion improvement kindly resolve
Prices seem reasonable.!!!,0,price seem reasonable
The new update is nice. kindly resolve,0,new update nice kindly resolve
Received a damaged package. asap,1,received damaged package asap
General feedback on your website.,0,general feedback website
The new update is nice. kindly resolve,0,new update nice kindly resolve
General feedback on your website.!!!,0,general feedback website
Just giving feedback about the UI. asap,0,giving feedback ui asap
Urgent: money deducted but order failed! please help,2,urgent money deducted order failed please help
Serious complaint: wrong person received my order and details!,2,serious complaint wrong person received order detail
Payment taken multiple times! please help,2,payment taken multiple time please help
Just giving feedback about the UI. please help,0,giving feedback ui please help
Serious complaint: wrong person received my order and details! asap,2,serious complaint wrong person received order detail asap
Fraud transaction detected on my account! asap,2,fraud transaction detected account asap
My delivery was delayed by two days.!!!,1,delivery delayed two day
Fraud transaction detected on my account! asap,2,fraud transaction detected account asap
Just giving feedback about the UI. kindly resolve,0,giving feedback ui kindly resolve
Unable to login sometimes. kindly resolve,1,unable login sometimes kindly resolve
Order arrived late. kindly resolve,1,order arrived late kindly resolve
Need help with changing my address.!!!,1,need help changing address
My account has been hacked!!!!,2,account hacked
Coupon code is not working.,1,coupon code working
I have not received my refund yet. kindly resolve,1,received refund yet kindly resolve
Feature request: dark mode would be nice.!!!,0,feature request dark mode would nice
Need help with changing my address. asap,1,need help changing address asap
Received a damaged package. please help,1,received damaged package please help
Received a damaged package.!!!,1,received damaged package
Need help with changing my address. asap,1,need help changing address asap
Payment taken multiple times! please help,2,payment taken multiple time please help
"I was charged twice, fix this immediately!",2,charged twice fix immediately
Need help with changing my address. asap,1,need help changing address asap
"I was billed incorrectly, please check. asap",1,billed incorrectly please check asap
Data privacy issue — my info is visible to others! please help,2,data privacy issue info visible others please help
Immediate help needed: account locked with balance inside! please help,2,immediate help needed account locked balance inside please help
Prices seem reasonable. please help,0,price seem reasonable please help
Order arrived late.,1,order arrived late
Critical: scam activity on my profile! kindly resolve,2,critical scam activity profile kindly resolve
Your staff was polite. asap,0,staff polite asap
Payment confirmation is pending.,1,payment confirmation pending
Just giving feedback about the UI.!!!,0,giving feedback ui
Data privacy issue — my info is visible to others! kindly resolve,2,data privacy issue info visible others kindly resolve
The new update is nice. kindly resolve,0,new update nice kindly resolve
Feature request: dark mode would be nice. kindly resolve,0,feature request dark mode would nice kindly resolve
Coupon code is not working. asap,1,coupon code working asap
Overall experience was okay.!!!,0,overall experience okay
Tracking info is not updating. asap,1,tracking info updating asap
Unable to login sometimes. asap,1,unable login sometimes asap
Data privacy issue — my info is visible to others!,2,data privacy issue info visible others
Feature request: dark mode would be nice. kindly resolve,0,feature request dark mode would nice kindly resolve
Just giving feedback about the UI.!!!,0,giving feedback ui
The new update is nice. kindly resolve,0,new update nice kindly resolve
Data privacy issue — my info is visible to others! asap,2,data privacy issue info visible others asap
General feedback on your website.,0,general feedback website
Tracking info is not updating. kindly resolve,1,tracking info updating kindly resolve
Unauthorized payment from my card! please help,2,unauthorized payment card please help
Need help with changing my address.!!!,1,need help changing address
I like your service. kindly resolve,0,like service kindly resolve
Urgent: money deducted but order failed! kindly resolve,2,urgent money deducted order failed kindly resolve
Coupon code is not working. please help,1,coupon code working please help
Payment confirmation is pending. kindly resolve,1,payment confirmation pending kindly resolve
Need help with changing my address. asap,1,need help changing address asap
I have not received my refund yet.,1,received refund yet
Your staff was polite.,0,staff polite
Just giving feedback about the UI. asap,0,giving feedback ui asap
Sharing a suggestion for improvement. please help,0,sharing suggestion improvement please help
Payment taken multiple times! asap,2,payment taken multiple time asap
Order arrived late. please help,1,order arrived late please help
Fraud transaction detected on my account! kindly resolve,2,fraud transaction detected account kindly resolve
Payment confirmation is pending. please help,1,payment confirmation pending please help
Urgent: money deducted but order failed!,2,urgent money deducted order failed
Payment taken multiple times! please help,2,payment taken multiple time please help
Need help with changing my address. asap,1,need help changing address asap
Order arrived late. please help,1,order arrived late please help
Feature request: dark mode would be nice. kindly resolve,0,feature request dark mode would nice kindly resolve
Fraud transaction detected on my account! please help,2,fraud transaction detected account please help
Fraud transaction detected on my account! asap,2,fraud transaction detected account asap
Sharing a suggestion for improvement. please help,0,sharing suggestion improvement please help
Payment taken multiple times!,2,payment taken multiple time
Just giving feedback about the UI. asap,0,giving feedback ui asap
Fraud transaction detected on my account! asap,2,fraud transaction detected account asap
Unable to login sometimes.,1,unable login sometimes
Urgent: money deducted but order failed! asap,2,urgent money deducted order failed asap
Immediate help needed: account locked with balance inside!,2,immediate help needed account locked balance inside
Serious complaint: wrong person received my order and details! please help,2,serious complaint wrong person received order detail please help
Serious complaint: wrong person received my order and details!!!!,2,serious complaint wrong person received order detail
I like your service.,0,like service
Just giving feedback about the UI. kindly resolve,0,giving feedback ui kindly resolve
Order arrived late. asap,1,order arrived late asap
Data privacy issue — my info is visible to others!!!!,2,data privacy issue info visible others
Payment confirmation is pending. kindly resolve,1,payment confirmation pending kindly resolve
Payment taken multiple times! please help,2,payment taken multiple time please help
Payment confirmation is pending.,1,payment confirmation pending
Overall experience was okay.!!!,0,overall experience okay
General feedback on your website.,0,general feedback website
Unauthorized payment from my card! asap,2,unauthorized payment card asap
My account has been hacked! asap,2,account hacked asap
Feature request: dark mode would be nice.!!!,0,feature request dark mode would nice
Just giving feedback about the UI. kindly resolve,0,giving feedback ui kindly resolve
General feedback on your website. asap,0,general feedback website asap
I have not received my refund yet. kindly resolve,1,received refund yet kindly resolve
Prices seem reasonable. asap,0,price seem reasonable asap
Need help with changing my address. kindly resolve,1,need help changing address kindly resolve
Payment taken multiple times!!!!,2,payment taken multiple time
I have not received my refund yet.!!!,1,received refund yet
Payment taken multiple times! please help,2,payment taken multiple time please help
Coupon code is not working.!!!,1,coupon code working
Need help with changing my address.!!!,1,need help changing address
Need help with changing my address.,1,need help changing address
Your staff was polite. asap,0,staff polite asap
"I was charged twice, fix this immediately! asap",2,charged twice fix immediately asap
Coupon code is not working. kindly resolve,1,coupon code working kindly resolve
Overall experience was okay. asap,0,overall experience okay asap
Unable to login sometimes.,1,unable login sometimes
Prices seem reasonable. kindly resolve,0,price seem reasonable kindly resolve
Critical: scam activity on my profile!!!!,2,critical scam activity profile
Coupon code is not working. kindly resolve,1,coupon code working kindly resolve
Coupon code is not working. kindly resolve,1,coupon code working kindly resolve
Tracking info is not updating. kindly resolve,1,tracking info updating kindly resolve
Fraud transaction detected on my account! please help,2,fraud transaction detected account please help
Prices seem reasonable.!!!,0,price seem reasonable
Unauthorized payment from my card! kindly resolve,2,unauthorized payment card kindly resolve
Your staff was polite.,0,staff polite
Tracking info is not updating. please help,1,tracking info updating please help
Serious complaint: wrong person received my order and details!,2,serious complaint wrong person received order detail
My account has been hacked! please help,2,account hacked please help
Coupon code is not working.!!!,1,coupon code working
Your staff was polite.,0,staff polite
Prices seem reasonable.,0,price seem reasonable
The new update is nice. please help,0,new update nice please help
Immediate help needed: account locked with balance inside!!!!,2,immediate help needed account locked balance inside
General feedback on your website.!!!,0,general feedback website
Payment confirmation is pending. please help,1,payment confirmation pending please help
"I was billed incorrectly, please check.",1,billed incorrectly please check
Tracking info is not updating.!!!,1,tracking info updating
Order arrived late. asap,1,order arrived late asap
Payment taken multiple times! please help,2,payment taken multiple time please help
Unable to login sometimes. asap,1,unable login sometimes asap
I like your service. kindly resolve,0,like service kindly resolve
Urgent: money deducted but order failed! please help,2,urgent money deducted order failed please help
Received a damaged package.!!!,1,received damaged package
